Position,Runner,Time,Race Score,Age-Group,Gender,Nationality
279,DALLA MARIGA Enrico,123:55:37,469,45-49,M,ITA
280,MATSUI Ryoji,123:57:24,469,40-44,M,JPN
281,MARGUERIE Cedric,124:00:44,469,35-39,M,FRA
282,HUGON Thomas,124:00:45,469,23-34,M,FRA
283,POZZI DAVIDE,124:07:53,468,45-49,M,ITA
284,MOSER Christophe,124:11:33,468,50-54,M,SUI
285,FOSSATI Maria Ilaria,124:12:48,468,50-54,F,ITA
286,VAN DER STEL Barry,124:28:36,467,40-44,M,NED
287,KASNANEN Heikki,124:30:04,467,40-44,M,FIN
288,MONTERO RIBERA Abel,124:34:27,467,35-39,M,ESP
289,FIDELUS Jacek,124:37:51,467,45-49,M,POL
290,KAMINSKI Jacek,124:38:13,466,40-44,M,POL
291,DECAESTEKER David,124:40:50,466,45-49,M,FRA
292,WILLIAMS Jonathan,124:43:30,466,50-54,M,GBR
293,READER Jordan,124:43:52,466,23-34,M,USA
294,PIN Gregory,124:44:38,466,40-44,M,FRA
295,BAPTISTE Fabrice,124:44:43,466,50-54,M,FRA
296,SCHULZ NIGMANN Luder,124:46:28,466,50-54,M,GER
297,PASQUIER Laurent,124:49:05,466,55-59,M,FRA
298,BIELLER Didier,124:55:06,465,40-44,M,ITA
299,TANG Yu Hin Ice,124:58:38,465,40-44,M,CHN
300,MOSKALIK Tomasz,125:02:44,465,45-49,M,POL
301,TISCHER Jason,125:04:51,465,50-54,M,USA
302,COKAN Rok,125:07:43,465,35-39,M,SLO
303,MIRON Iulian,125:11:13,464,50-54,M,ROU
304,MORRIS Benjamin,125:13:49,464,40-44,M,GBR
305,BYIERS Bruce,125:14:07,464,45-49,M,GBR
306,MUNTEANU Vlad,125:15:19,464,40-44,M,ROU
307,PARMENTIER nicolas,125:15:59,464,55-59,M,FRA
308,TANADA Takayuki,125:25:10,464,50-54,M,JPN
309,SO Richard,125:32:30,463,35-39,M,CAN
310,SCALVINONI Fabio,125:33:09,463,45-49,M,ITA
311,POULAIN Jerome,125:34:33,463,45-49,M,FRA
312,WEBER Brad,125:34:54,463,45-49,M,CAN
313,STELLA Paolo,125:43:43,462,45-49,M,ITA
314,DELIAU Bastien,125:58:32,462,50-54,M,FRA
315,YUSOFF KHAIRUL AZMI,126:08:44,461,35-39,M,MAS
316,RATTO Francesco,126:09:20,461,40-44,M,ITA
317,GIACOMINI Gianluca,126:13:58,461,40-44,M,ITA
318,SZMYT Maciej,126:17:18,460,40-44,M,POL
319,BETHENCOURT JORGE Guillermo,126:23:11,460,23-34,M,ESP
320,MANITTO Andrea Vittorio,126:23:26,460,50-54,M,ITA
321,KUWAZANE Isao,126:24:17,460,45-49,M,JPN
322,BIZZI Daniele,126:25:49,460,50-54,M,ITA
323,PELLETIER Bertrand,126:27:59,460,50-54,M,FRA
324,MUNOZ GARCIA Albert,126:32:25,459,40-44,M,ESP
325,GONGET Christophe,126:34:47,459,50-54,M,FRA
326,ANDRE Geoffray,126:43:02,459,45-49,M,FRA
327,CHEN Haoyue,126:44:09,459,23-34,M,CHN
328,DESNOYERS Jonathan,126:48:32,458,40-44,M,FRA
329,SCARAMELLI Emanuele,126:53:02,458,40-44,M,ITA
330,BOUYER Fabien,126:53:22,458,50-54,M,FRA
331,CEPÁK Michal,126:53:36,458,45-49,M,CZE
332,TUAN ISMAIL TUAN HAFANDI,126:57:16,458,50-54,M,MAS
333,CORRADO Vacca,127:06:19,457,60-64,M,ITA
334,BACILE Audrey,127:16:37,457,45-49,F,FRA
335,CAVIGLIA Jerome,127:17:14,457,40-44,M,FRA
336,ROSSI Fabio,127:19:32,457,45-49,M,ITA
337,PETERSEN Ian,127:21:45,457,23-34,M,USA
338,SIMARD Arnaud,127:22:42,456,50-54,M,FRA
339,DURIEUX Mathieu,127:25:28,456,35-39,M,FRA
340,BOUCHER Frederic,127:26:29,456,55-59,M,FRA
340,JOUBERT Frederic,127:26:29,456,45-49,M,FRA
342,VERNET Thomas,127:26:30,456,40-44,M,FRA
343,BASTRENTAZ Andrea Antonio,127:26:51,456,60-64,M,ITA
344,VINCENDET Jean Baptiste,127:26:59,456,55-59,M,FRA
345,MARCHAND Michel,127:29:48,456,40-44,M,FRA
346,LIU Shangpeng,127:30:24,456,23-34,M,CHN
347,SORENSEN Christian,127:32:07,456,45-49,M,USA
348,MASSIMINO Simone,127:33:25,456,40-44,M,ITA
349,PARINI fabrizio,127:33:55,456,40-44,M,ITA
350,CRIPPA Andrea,127:34:30,456,40-44,M,ITA
351,SCOPEL Paolo,127:35:33,456,45-49,M,ITA
352,GANASSIN Emanuele Carlo,127:36:13,456,35-39,M,ITA
353,HOLMES Jake,127:37:55,456,40-44,M,GBR
353,MICHEL Alain,127:37:55,456,50-54,M,FRA
355,BARRA Silvio Andrea,127:40:26,455,60-64,M,ITA
356,FRINO Stefano,127:40:46,455,45-49,M,ITA
357,GHERSI Luca,127:45:18,455,45-49,M,ITA
358,PLOETNER Kay,127:48:55,455,45-49,M,GER
359,VILLANUEVA Abrahan,127:49:31,455,40-44,M,COL
360,SUNTHORNWIT Montha,127:53:38,455,45-49,F,THA
361,BOUCHOUX Romain,127:57:17,454,40-44,M,FRA
362,WU Xu dong,127:58:03,454,50-54,M,CAN
363,MARIANI Laura,127:59:37,454,45-49,F,ITA
364,POCHOLLE Benjamin,128:03:03,454,35-39,M,FRA
365,DAIX Vincent,128:03:08,454,45-49,M,FRA
366,HUN Hunghsin,128:04:01,454,40-44,M,TPE
367,BERAUD Gabriel,128:06:07,454,35-39,M,FRA
368,KURIHARA Yuta,128:08:36,454,35-39,M,JPN
369,ORIZIO Andrea,128:09:20,454,23-34,M,ITA
370,VILLA Emanuele,128:14:52,453,55-59,M,ITA
371,RIGO Andrea,128:16:52,453,45-49,M,ITA
372,CASANOVA DAVIDE,128:17:51,453,45-49,M,ITA
373,ANASTASIADIS Stergios,128:20:13,453,50-54,M,GRE
374,OLDHAM Ian,128:20:37,453,50-54,M,GBR
375,GONZALEZ RODRIGUEZ JUAN,128:23:15,453,50-54,M,ESP
376,TABET Roberta,128:27:01,453,45-49,F,SUI
377,BOZZI Luca,128:27:54,453,45-49,M,ITA
378,FESTI Nicola,128:27:58,453,35-39,M,ITA
379,RUCCI Paolo,128:28:10,453,40-44,M,ITA
380,COLLS AVILA Oscar,128:32:21,452,45-49,M,ESP
381,SCARANO Pamela,128:34:36,452,40-44,F,ITA
382,ISOMURA Chieko,128:34:55,452,45-49,F,JPN
383,CHEUNG Ming Fung,128:38:05,452,35-39,M,HKG
384,GAO feifei,128:39:42,452,40-44,F,CHN
385,BRIAN Agustin,128:41:18,452,40-44,M,ARG
386,BENNETT Sophie,128:53:22,451,40-44,F,GBR
387,CASET Ivan,128:53:54,451,35-39,M,ITA
387,STENICO Simone,128:53:54,451,45-49,M,ITA
389,PINTERIC Dejan,129:02:04,451,45-49,M,SLO
390,FONTANA GIUSTI Giovanni,129:06:17,450,60-64,M,ITA
391,JOUFFROY Romain,129:07:34,450,45-49,M,FRA
392,LAMY Frederic,129:09:13,450,45-49,M,FRA
393,SPIVAK Roman,129:12:12,450,45-49,M,ISR
394,SCHOENMAEKERS Ruben,129:22:50,449,35-39,M,BEL
395,HAUSPY Jules,129:22:52,449,23-34,M,BEL
396,MOZZONE GIOVANNI,129:34:17,449,55-59,M,ITA
397,SHIPOVIKJ Katerina,129:42:30,448,35-39,F,MKD
398,GAI Yuanpei,129:46:07,448,40-44,M,CHN
399,ARANDA David,129:48:17,448,35-39,M,FRA
400,COSSA Michele,129:49:26,448,50-54,M,ITA
401,GERASIMOVIC Marko,129:50:25,448,35-39,M,SRB
402,HARA Ippei,129:56:29,447,45-49,M,JPN
403,PONT Marcella,129:57:25,447,40-44,F,ITA
404,FLETGEN Carole,129:57:29,447,45-49,F,FRA
405,OSWALD Manfred,130:02:07,447,55-59,M,GER
406,LONGEARET Sebastien,130:07:29,447,45-49,M,FRA
407,VALSERIATI Lara,130:19:04,446,23-34,F,ITA
408,QUAINI Marco,130:19:06,446,40-44,M,ITA
409,COCCOLI Daniele,130:19:07,446,23-34,M,ITA
410,LESTIENNE Axel,130:29:03,446,U23,M,FRA
411,CHAN Chun Fai,130:37:21,445,40-44,M,HKG
412,CASARES THOMAS,130:40:30,445,23-34,M,FRA
413,SCHWEGLER Jennifer,130:41:27,445,40-44,F,USA
414,FRANÇOIS Goyot,130:45:04,445,50-54,M,FRA
415,CABANAC Loïc,130:48:01,444,23-34,M,FRA
416,ZAROLI Luca Teresio,130:56:57,444,55-59,M,ITA
417,BORDINI William,131:01:37,444,50-54,M,ITA
418,DELOUCHE Olivier,131:09:11,443,23-34,M,FRA
419,PIGASSE Thomas,131:09:18,443,45-49,M,FRA
420,FABRETTI Fabrizio,131:14:21,443,40-44,M,ITA
421,SUZUKI MIKI,131:16:43,443,50-54,F,JPN
422,WILLIAMS Sarah Kirsty,131:17:59,443,50-54,F,GBR
423,FALANGA Iacopo,131:20:09,443,23-34,M,ITA
424,Zani Paolo,131:29:17,442,55-59,M,ITA
425,BOYER Maxime,131:42:20,441,40-44,M,FRA
426,KUBO Akiko,131:47:09,441,40-44,F,JPN
427,SILVER Carl,132:24:15,439,50-54,M,GBR
428,JONES David,132:24:24,439,45-49,M,GBR
429,RUTSCH Andreas,132:33:42,439,40-44,M,SUI
430,ROSSATO Pietro,132:39:52,438,35-39,M,ITA
431,GRABIASZ Miguel,132:43:08,438,50-54,M,FRA
432,ORSINI Alessio Bortolo Sergio,132:44:02,438,65-69,M,ITA
433,ORSINI Sebastian,132:44:04,438,23-34,M,ITA
434,SERVIDIO GIUSEPPE,133:00:37,437,23-34,M,ITA
435,VELASCO MAGALDI Fernando,133:07:42,437,60-64,M,ESP
436,DELEPLANQUE Aymeric,133:14:47,436,40-44,M,FRA
437,BOGLIO Davide,133:14:59,436,35-39,M,ITA
438,HUI Lai Pui,133:16:12,436,35-39,F,HKG
439,ADELMANN Yann,133:24:04,436,45-49,M,FRA
440,ROYAT Laurent,133:25:25,436,50-54,M,FRA
441,CHAILLET Olivier,133:27:10,436,55-59,M,FRA
442,TAK Hyoung Suk,133:28:37,436,50-54,M,KOR
443,MEJIA Sandra,133:30:35,435,45-49,F,CRC
444,POLLONO Massimiliano,133:35:08,435,45-49,M,ITA
445,LUCA Conrado,133:36:16,435,45-49,M,ITA
446,MILEWICZ Daniel,133:37:25,435,40-44,,POL
447,CARRILLO Yosu,133:42:05,435,45-49,M,ESP
